slug,name,category,founded,description,website,facebook,instagram,linkedin,youtube,twitter,overall_rating,total_reviews,response_rate_pct,resolved_complaints_pct,customer_loyalty_pct,star5_pct,star4_pct,star3_pct,star2_pct,star1_pct,profile_url
expargo,Expargohaqqında rəylər və şikayətlər,Kargo şirkətləri,,,https://expargo.com/home,https://www.facebook.com/expargo.az/,https://www.instagram.com/expargo.az/,https://www.linkedin.com/company/bildir-az,,,1.6,5,,,,,,,,,https://www.bildir.az/expargo/
wolt,Wolthaqqında rəylər və şikayətlər,Yemək çatdırılması,,,https://wolt.com/az/discovery,https://www.facebook.com/wolt.azerbaijan/,https://www.instagram.com/wolt.azerbaijan,https://www.linkedin.com/company/bildir-az,,,2.9,5,,,,,,,,,https://www.bildir.az/wolt/
pasa-bank,PAŞA Bankhaqqında rəylər və şikayətlər,Banklar,,,https://www.pashabank.az,https://www.facebook.com/pashabank,https://www.instagram.com/pashabank/,https://www.linkedin.com/company/pasha-bank/,,,2.6,5,,,,,,,,,https://www.bildir.az/pasa-bank/
nar,Narhaqqında rəylər və şikayətlər,Mobil operatorlar,,,https://nar.az/,https://www.facebook.com/Narofficial,https://www.instagram.com/nar_official/,https://www.linkedin.com/company/narofficial/,,,3.0,5,,,,,,,,,https://www.bildir.az/nar/
enginet-birlink,Enginet | BİRLinkhaqqında rəylər və şikayətlər,İnternet və İT xidmətləri,,,https://birlink.az/az/,https://m.facebook.com/birlink.az,https://instagram.com/birlink.az?igshid=MzRlODBiNWFlZA==,https://www.linkedin.com/company/birlink.az/,,,1.7,5,,,,,,,,,https://www.bildir.az/enginet-birlink/
citynet,CityNethaqqında rəylər və şikayətlər,İnternet və İT xidmətləri,,,https://www.citynet.az,https://m.facebook.com/Citynetaze,https://www.instagram.com/citynet.official/?hl=en,https://www.linkedin.com/company/bildir-az,,,1.5,5,,,,,,,,,https://www.bildir.az/citynet/
starex,Starexhaqqında rəylər və şikayətlər,Kargo şirkətləri,,,https://starex.az/,https://www.facebook.com/starex.az,https://www.instagram.com/starex.az/,https://www.linkedin.com/company/starex-az/,,,2.3,5,,,,,,,,,https://www.bildir.az/starex/
azeronline,Azeronlinehaqqında rəylər və şikayətlər,İnternet və İT xidmətləri,,,https://www.azeronline.com,https://www.facebook.com/azeronline,https://www.instagram.com/azeronlinebm/,https://www.linkedin.com/company/bildir-az,,,2.3,5,,,,,,,,,https://www.bildir.az/azeronline/
new-yorker,New Yorkerhaqqında rəylər və şikayətlər,Ticarət,,,,https://www.facebook.com/bildir.az,https://www.instagram.com/bildir.az/,https://www.linkedin.com/company/bildir-az,,,2.0,5,,,,,,,,,https://www.bildir.az/new-yorker/
kapital-bank,Kapital Bankhaqqında rəylər və şikayətlər,Banklar,,,https://kapitalbank.az/,https://www.facebook.com/kapitalbank,https://www.instagram.com/kapital_bank/,https://www.linkedin.com/company/kapitalbankojsc,,,2.9,5,,,,,,,,,https://www.bildir.az/kapital-bank/
